Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Status curadoria
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,31ª série,,09/06/2023,Não identificada na extração offline,,,"R$242.038.461,00",,,,,emissão,475826_emissao_emissao_475826_2023-06-09.pdf · ID 475826 · 09/06/2023,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,31ª série,,15/06/2023,Não identificada na extração offline,,,"R$1,00",,,,,emissão,479908_emissao_emissao_479908_2023-06-15.pdf · ID 479908 · 15/06/2023,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,33ª Série,,15/01/2024 11:00,Não identificada na extração offline,,,"R$ 50.000.000,00",,"ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 33ª Série; (v) Meta de Remuneração das Cotas Seniores da 33ª Série: as Cotas Seniores da 33ª Série serão valoradas diariame…","ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 33ª Série; (v) Meta de Remuneração das Cotas Seniores da 33ª Série: as Cotas Seniores da 33ª Série serão valoradas diariame…","idade de Cotas Seniores da 33ª Série: a ser definid a de acordo com Procedimento de Bookbuilding, observada a quantidade mínima de 50.000.000 (cinquenta milhões) e a máxima de 200.000.000 (duzentos milhões) de Cotas Seniores da 33ª Série; (iii) Valor Unitário de Emissão: R$ 1,00 (um real); (iv) Prazo e Condições de Amortização das Cotas Seniores da 33ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",evento de cota,585597_assembleia_assembleia_585597_2024-01-15.pdf · ID 585597 · 15/01/2024 11:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,3ª Série,,15/01/2024 11:00,Não identificada na extração offline,,,R$ 14,,"do pelo Coordenador Líder( conforme abaixod efinido). (B)e m relaçãoao item (ii) da ordem do dia, trata-sed ae missãod eC otas SubordinadasM ezaninoI-K, no valor de,n om ínimo,R $5 .000.000,00( cinco milhõesd er eais) e, no máximo,R $1 9.000.000,00 (dezenove milhõesd er eais), comp razo de 60 (sessenta)m eses,c ujaM eta de Remuneraçãos erác alculada nos termos do Suplemento de Cotas Subordinadas MezaninoI -K, com ba…","do pelo Coordenador Líder( conforme abaixod efinido). (B)e m relaçãoao item (ii) da ordem do dia, trata-sed ae missãod eC otas SubordinadasM ezaninoI-K, no valor de,n om ínimo,R $5 .000.000,00( cinco milhõesd er eais) e, no máximo,R $1 9.000.000,00 (dezenove milhõesd er eais), comp razo de 60 (sessenta)m eses,c ujaM eta de Remuneraçãos erác alculada nos termos do Suplemento de Cotas Subordinadas MezaninoI -K, com ba…","-Kp oderán ão seri mplementada,d esde queo bservada aR elação Mínima. Observado od ispostoa cima, aq uantidade finalea sobretaxa mezanino das CotasSubordinadas Mezanino I-K serão definidas em Procedimento de Bookbuilding.Nos termos do Regulamento, as CotasS ubordinadasM ezanino I-K se subordinarão,p ara efeitosd ee ventual amortização,r esgate ed istribuiçãod er endimentosd ac arteira do Fundo, às CotasS ubordinadas…",evento de cota,585596_assembleia_assembleia_585596_2024-01-15.pdf · ID 585596 · 15/01/2024 11:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,33ª SÉRIE,,17/01/2024,Não identificada na extração offline,,,"R$ 225.000.000,00",,,,,emissão,587307_emissao_emissao_587307_2024-01-17.pdf · ID 587307 · 17/01/2024,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,33ª SÉRIE,,06/02/2024,Não identificada na extração offline,,,"R$ 200.000.000,00",,"(sessenta) meses a contar da 1ª Data de Integralização de Cotas Seniores da 33ª Série. Sobretaxa Sênior das Cotas Seniores da 33ª Série: 2,10% ( dois inteiros e dez centésimos por cento) ao ano , conforme definida no âmbito do procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Seniores da 33ª Série: As Cotas Seniores da 33ª Série serão valoradas diariamente, a pa…","(sessenta) meses a contar da 1ª Data de Integralização de Cotas Seniores da 33ª Série. Sobretaxa Sênior das Cotas Seniores da 33ª Série: 2,10% ( dois inteiros e dez centésimos por cento) ao ano , conforme definida no âmbito do procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Seniores da 33ª Série: As Cotas Seniores da 33ª Série serão valoradas diariamente, a pa…","item 14 do Regulamento. A Meta de Remuneração das Cotas Seniores da 33ª Série será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Sênior das Cotas Seniores da 33ª Série. Tipo de Amortização Programada: Remuneração Intermediária. Meta de Amortização de Principal: Com relação a cada D…",evento de cota,596947_assembleia_assembleia_596947_2024-02-06.pdf · ID 596947 · 06/02/2024,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,33ª SÉRIE,,09/02/2024,Não identificada na extração offline,,,"R$ 1,00",,,,,emissão,602486_emissao_emissao_602486_2024-02-09.pdf · ID 602486 · 09/02/2024,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,cotas seniores XXXI 71,Sênior,01/07/2024 11:00,Não identificada na extração offline,,,,,"ão aplicada em direitos creditórios poderá ser aplicada em ativos financeiros. Os ativos financeiros podem vir a se mostrar ilíquidos (seja por ausência de mercado secundário ativo, seja por eventual atraso no pagamento por parte do respectivo emissor e/ou devedor), o que poderia, eventualme nte, afetar os pagamentos de remuneração, amortização e/ou de resgate das cotas. Adicionalmente, não foi realizado qualquer pr…","ão aplicada em direitos creditórios poderá ser aplicada em ativos financeiros. Os ativos financeiros podem vir a se mostrar ilíquidos (seja por ausência de mercado secundário ativo, seja por eventual atraso no pagamento por parte do respectivo emissor e/ou devedor), o que poderia, eventualme nte, afetar os pagamentos de remuneração, amortização e/ou de resgate das cotas. Adicionalmente, não foi realizado qualquer pr…",reditórios 439.505 341.708 Valores ressarcidos/reembolsados por contratos cancelados 2.515 1.637 Rendas em operações compromissadas 939 970 Resgate de titulos privados de renda fixa (142.627) 90.608 Aplicação em titulos privados de renda fixa 264.506 (146.855) Aplicação em títulos públicos (201.336) (360.286) Resgate/amortização de títulos públicos 191.930 332.114 Liquidação financeira de derivativos 9.951 (1.462) P…,evento de cota,690837_assembleia_assembleia_690837_2024-07-01.pdf · ID 690837 · 01/07/2024 11:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,34ª Série,,08/08/2024 11:00,Não identificada na extração offline,,,"R$ 30.000.000,00",,"ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 34ª Série; (v) Meta de Remuneração das Cotas Seniores da 34ª Série: as Cotas Seniores da 34ª Série serão valoradas diariame…","ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 34ª Série; (v) Meta de Remuneração das Cotas Seniores da 34ª Série: as Cotas Seniores da 34ª Série serão valoradas diariame…","iores da 34ª Série: a ser definid a de acordo com Procedimento de Bookbuilding, observada a quantidade mínima de 30.000.000 (trinta milhões) e a quantidade máxima de 330.000.000 (trezentos e trinta milhões) de Cotas Seniores da 34ª Série; (iii) Valor Unitário de Emissão: R$ 1,00 (um real); (iv) Prazo e Condições de Amortização das Cotas Seniores da 34ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",evento de cota,716784_assembleia_assembleia_716784_2024-08-08.pdf · ID 716784 · 08/08/2024 11:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cotas Subordinadas,Subordinada,23/09/2024 11:00,Não identificada na extração offline,,,"R$ 5.000.000,00",,não colocado será cancelado. Data de Resgate: 60 (sessenta) meses a contar da 1ª Data de Integralização de Cotas Subordinadas Mezanino II-D. Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D: A ser definida de acordo com procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Subordinadas Mezanino II-D: As Cotas Subordinadas Mezanino II-D serão valoradas diariam…,não colocado será cancelado. Data de Resgate: 60 (sessenta) meses a contar da 1ª Data de Integralização de Cotas Subordinadas Mezanino II-D. Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D: A ser definida de acordo com procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Subordinadas Mezanino II-D: As Cotas Subordinadas Mezanino II-D serão valoradas diariam…,"Regulamento. A Meta de Remuneração das Cotas Subordinadas Mezanino II- D será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D. Tipo de Amortização Programada: Remuneração Intermediária Meta de Amortização de Principal: com relação a cada…",evento de cota,736911_assembleia_assembleia_736911_2024-09-23.pdf · ID 736911 · 23/09/2024 11:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
