Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Alocação mínima em direitos creditórios,credit_rights_allocation_min,Dir Cred / PL >= 50%,monitoravel com ressalva,Dir Cred / PL,Alerta se Dir Cred / PL ficar abaixo de 50%,Regulamento também menciona alocação mínima tributária de 67%; o threshold operacional base é 50%.,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.125 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Índice de Atraso Over 30,default_rate_evaluation_event,Over 30 > 12%,monitoravel com ressalva,Vencidos Over 30 d / Crédito,Alerta se NPL Over 30 acumulado ficar acima de 12%,Regulamento calcula atraso no sexto mês após cessão e por devedor; IME é proxy agregado por bucket.,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.106 e p.141 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Índice de Atraso Over 60,default_rate_evaluation_event,Over 60 > 10%,monitoravel com ressalva,Vencidos Over 60 d / Crédito,Alerta se NPL Over 60 acumulado ficar acima de 10%,Regulamento calcula atraso no sexto mês após cessão e por devedor; IME é proxy agregado por bucket.,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.106 e p.141 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Índice de Atraso Over 90,default_rate_evaluation_event,"Over 90 > 8,5%",monitoravel com ressalva,Vencidos Over 90 d / Crédito,"Alerta se NPL Over 90 acumulado ficar acima de 8,5%",Regulamento calcula atraso no sexto mês após cessão e por devedor; IME é proxy agregado por bucket.,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.107 e p.142 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Índice de Atraso Over 180,default_rate_evaluation_event,Over 180 > 6%,monitoravel com ressalva,Vencidos Over 180 d / Crédito,Alerta se NPL Over 180 acumulado ficar acima de 6%,Regulamento calcula atraso no sexto mês após cessão e por devedor; IME é proxy agregado por bucket.,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.107 e p.142 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Índice de Cobertura na integralização,pdd_coverage_min,Índice de Cobertura >= 100%,parcial,Sem proxy completo no IME; exige fator de ponderação e valor presente,Alerta qualitativo se cobertura reportada em lâmina/documento ficar abaixo de 100%,"Não é PDD/Over; fórmula usa valor ponderado da carteira, disponibilidades e fatores por classe.",1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.71 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Derivativos permitidos,permitted_hedges,Derivativos de juros e inflação para hedge até 1x PL,parcial,Posições mantidas em derivativos,Alerta qualitativo se exposição agregada destoar da regra,"IME mostra posição agregada, mas não identifica finalidade do hedge nem contraparte.",1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.62 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Razão de Subordinação Sênior,subordination_ratio_min,Cotas Subordinadas / PL >= 12%,monitoravel com ressalva,Cotas Sub / PL %,Alerta se Cotas Sub / PL ficar abaixo de 12%,Usar proxy apenas quando classes de cotas estiverem reconciliadas no IME.,939590_regulamento_regulamento_939590_2025-04-15.pdf · p.54 e p.87 · ID 939590,curado parcial; fonte documental validada e proxy IME revisável
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Alocação mínima em direitos creditórios,credit_rights_allocation_min,Dir Cred / PL >= 50%,monitoravel com ressalva,Dir Cred / PL,Alerta se Dir Cred / PL ficar abaixo de 50%,Regulamento também menciona alocação mínima tributária de 67%; o threshold operacional base é 50%.,939590_regulamento_regulamento_939590_2025-04-15.pdf · p.20 e p.75 · ID 939590,curado parcial; fonte documental validada e proxy IME revisável
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Índice de Inadimplência Over 90,default_rate_evaluation_event,Over 90 > 19%,monitoravel com ressalva,Vencidos Over 90 d / Crédito,Alerta se NPL Over 90 acumulado ficar acima de 19%,Regulamento menciona índice superior a 90 dias; não identifiquei thresholds equivalentes de Over 30/60/180 no regulamento vigente.,939590_regulamento_regulamento_939590_2025-04-15.pdf · p.67 · ID 939590,curado parcial; fonte documental validada e proxy IME revisável
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Derivativos permitidos,permitted_hedges,Derivativos de juros e inflação para hedge,parcial,Posições mantidas em derivativos,Alerta qualitativo se exposição agregada destoar da regra,"IME mostra posição agregada, mas não identifica finalidade do hedge nem contraparte.",939590_regulamento_regulamento_939590_2025-04-15.pdf · p.21 · ID 939590,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Índice de Subordinação Mezanino,subordination_ratio_min,Cotas Subordinadas Junior / PL >= 7%,parcial,Cotas Sub / PL %; exige segregação junior/mezanino,Alerta qualitativo se subordinação estrita parecer insuficiente,IME nem sempre separa junior e mezanino de forma confiável para este teste.,1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.130 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Índice de Subordinação Sênior,subordination_ratio_min,Cotas Subordinadas / PL >= 15%,monitoravel com ressalva,Cotas Sub / PL %,Alerta se Cotas Sub / PL ficar abaixo de 15%,Usar proxy apenas quando classes de cotas estiverem reconciliadas no IME.,1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.130-131 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Alocação mínima em direitos creditórios,credit_rights_allocation_min,Dir Cred / PL >= 67%,monitoravel com ressalva,Dir Cred / PL,Alerta se Dir Cred / PL ficar abaixo de 67%,Regulamento exige Direitos Creditórios Elegíveis; IME não prova elegibilidade individual.,1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.110 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Índice de Atraso Over 30,default_rate_evaluation_event,Over 30 > 14%,monitoravel com ressalva,Vencidos Over 30 d / Crédito,Alerta se NPL Over 30 acumulado ficar acima de 14%,Regulamento calcula atraso no sexto mês após cessão e por devedor; IME é proxy agregado por bucket.,1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.90 e p.127 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Índice de Atraso Over 60,default_rate_evaluation_event,Over 60 > 12%,monitoravel com ressalva,Vencidos Over 60 d / Crédito,Alerta se NPL Over 60 acumulado ficar acima de 12%,Regulamento calcula atraso no sexto mês após cessão e por devedor; IME é proxy agregado por bucket.,1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.90 e p.128 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Índice de Atraso Over 90,default_rate_evaluation_event,"Over 90 > 10,5%",monitoravel com ressalva,Vencidos Over 90 d / Crédito,"Alerta se NPL Over 90 acumulado ficar acima de 10,5%",Regulamento calcula atraso no sexto mês após cessão e por devedor; IME é proxy agregado por bucket.,1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.90 e p.128 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Índice de Atraso Over 180,default_rate_evaluation_event,Over 180 > 8%,monitoravel com ressalva,Vencidos Over 180 d / Crédito,Alerta se NPL Over 180 acumulado ficar acima de 8%,Regulamento calcula atraso no sexto mês após cessão e por devedor; IME é proxy agregado por bucket.,1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.90 e p.129 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Índice de Cobertura na integralização,pdd_coverage_min,Índice de Cobertura >= 100%,parcial,Sem proxy completo no IME; exige fator de ponderação e valor presente,Alerta qualitativo se cobertura reportada em lâmina/documento ficar abaixo de 100%,"Não é PDD/Over; fórmula usa valor ponderado da carteira, disponibilidades e fatores por classe.",1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.67 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Reserva de Liquidez,minimum_cash_ratio,Reserva de Liquidez para necessidades de caixa; Reserva de Amortização = 100% da Próxima Amortização,parcial,Disponibilidades; exige cronograma/fluxo manual,Alerta qualitativo se disponibilidades parecerem insuficientes,"IME traz disponibilidades, mas não reconstrói reserva contratual futura sem cronograma e fluxo de caixa.",1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.77 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.983.705/0001-68,Derivativos permitidos,permitted_hedges,Derivativos de juros e inflação para hedge até 1x PL,parcial,Posições mantidas em derivativos,Alerta qualitativo se exposição agregada destoar da regra,"IME mostra posição agregada, mas não identifica finalidade do hedge nem contraparte.",1149324_regulamento_regulamento_1149324_2026-03-26.pdf · p.54 · ID 1149324,curado parcial; fonte documental validada e proxy IME revisável
