Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | observadas pela Gestora, de acordo com as normas do CMN e CVM, não será possível assegurar a aplicação do Regime Específico dos Fundos Não Sujeitos à Tributação Periódica, sendo certo que em nenhuma hipótese a Gestora poderá ser responsável por tal desenquadramento, exceto em caso de comprovado dolo ou má-fé. 3.17. Proibição de Realização de Operações com Derivativos. A Classe não poderá realizar operações em mercad…",1149521_regulamento_regulamento_1149521_2026-03-25.pdf · ID 1149521 · 25/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Subordinação mínima,subordination_ratio_min,7%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 7%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | entos e cinquenta e dois) Dias Úteis; Per. Snr – é o percentual do PLEoP composto por Cotas Seniores. 11.3 Caso, em determinado mês-calendário, a média móvel dos três meses anteriores ao cálculo da Rentabilidade Excedente seja inferior a 7% (sete por cento), a Gestora informará à Administradora, para que o Índice de Subordinação seja elevado conforme tabela abaixo: Rentabilidade Excedente do Fundo (R) Índice de Subo…",1128340_regulamento_regulamento_1128340_2026-03-03.pdf · ID 1128340 · 03/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Subordinação mínima,subordination_ratio_min,12%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 12%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | niores, desde que seja preservada a Razão de Subordinação Sênior, desde que não esteja em curso nenhum Evento de Avaliação ou Evento de Liquidação, observado o previsto na Cláusula 17.10.8. abaixo. 17.8.8. Ressalvada aprovação em contrário dos Cotistas reunidos em Assembleia Geral, nos termos do Capítulo XIV deste Regulamento, as Cotas Subordinadas Juniores não poderão ser amortizadas caso seja verificada Razão de S…",939590_regulamento_regulamento_939590_2025-04-15.pdf · ID 939590 · 15/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Alocação mínima em direitos creditórios,credit_rights_allocation_min,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | , após 180 (cento e oitenta ) dias contados da Primeira Data de Integralização, observar um percentual mínimo de 50% ( cinquenta por cento ) do Patrimônio Líquido a ser mantido em Direitos Creditórios (“Alocação Mínima ”), podendo a CVM, a seu exclusivo critério, prorrogar esse prazo por igual período, desde que a Administradora apresente motivos que justifiquem a prorrogação. 11.1.2. Se mantido o enquadramento da A…",939590_regulamento_regulamento_939590_2025-04-15.pdf · ID 939590 · 15/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Atraso/Inadimplência - evento de avaliação,default_rate_evaluation_event,19%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar abaixo de 19%,"Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | tro) Datas de Envio de Relatório Mensal de Gestão nos últimos 12 (doze) meses; de quaisquer hipóteses de desempenho de inadimplência, calculadas em relação à carteira de Direitos Creditórios, considerando a defasagem de meses necessária para o cálculo do índice de inadimplência: (superior a 90 (noventa) dias super e o percentual de 19% (dezenove por cento) (“Índices de Inadimplência”). 25.2.1. Na ocorrência d e um E…",939590_regulamento_regulamento_939590_2025-04-15.pdf · ID 939590 · 15/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Reserva ou caixa mínimo,minimum_cash_ratio,15%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,Alerta se proxy IME ficar abaixo de 15%,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | 17.8.4. O pagamento do resgate ou da amortização das Cotas será efetuado pelo valor unitário da Cota no encerramento do Dia Útil imediatamente anterior, em moeda corrente nacional, por meio: (a) da B3, caso as Cotas estejam custodiadas na B3; ou (b) de transferência eletrônica disponível – TED ou outros mecanismos de transferência de recursos autorizados pelo BACEN. 54 17.8.5. A reserva a ser constituída em Disponib…",939590_regulamento_regulamento_939590_2025-04-15.pdf · ID 939590 · 15/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | epostos não se responsabilizarão por danos ou prejuízos sofridos em decorrência da não propositura ou do não prosseguimento de medidas judiciais ou extrajudiciais necessárias à salvaguarda de direitos, garantia s e prerrogativas do Fundo, o patrimônio do Fundo poderá ser afetado negativamente. (viii) Risco de Utilização de Instrumentos Derivativos. A eventual contratação, pelo Fundo, de modalidades de operações de d…",939590_regulamento_regulamento_939590_2025-04-15.pdf · ID 939590 · 15/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | extrajudiciais necessárias à salvaguarda de direitos, garantia s e prerrogativas do Fundo, o patrimônio do Fundo poderá ser afetado negativamente. (viii) Risco de Utilização de Instrumentos Derivativos. A eventual contratação, pelo Fundo, de modalidades de operações de derivativos poderá ocorrer exclusivamente para proteção de posições detidas à vista pelo Fundo. A realização de operações pelo Fundo no mercado de de…",939590_regulamento_regulamento_939590_2025-04-15.pdf · ID 939590 · 15/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Limite de concentração,concentration_limits,100%,nao_monitoravel,,Alerta se proxy IME ficar acima de 100%,"Limites por sacado, cedente ou grupo econômico exigem granularidade não disponível no IME público. | Extração local heurística; validar manualmente antes de ativar alerta. | ção à distância, dentre outras), em que a Cedente deverá restituir imediatamente ao Fundo o Preço de Aquisição proporcional aos Direitos Creditórios devidos pelos Devedores cujos contratos de prestação de serviços tenham sido 47 cancelados ou interrompidos referente aos meses não cursados pelo Devedor, o risco de inadimplência dos Direitos Creditórios estará concentrado unicamente na Cedente. (ii) Risco de Concentra…",939590_regulamento_regulamento_939590_2025-04-15.pdf · ID 939590 · 15/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BV - CRÉDITO DE VEÍCULOS RESPONSABILIDADE LIMITADA,35.868.110/0001-54,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | culação, observada a responsabilidade do Administrador designado nos termos do artigo 8° da Instrução CVM 356/01 pela regularidade na prestação dessas informações. 5.3. É vedado ao Administrador: 8 (i) prestar fiança, aval, aceite ou coobrigar -se sob qualquer outra forma nas operações praticadas pelo Fundo, inclusive quando se tratar de garantias prestadas às operações realizadas em mercados de derivativos; (ii) ut…",537768_regulamento_regulamento_537768_2023-10-09.pdf · ID 537768 · 09/10/2023,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Subordinação mínima,subordination_ratio_min,7%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 7%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | iante esteja acima de 7% (sete por cento) até julho de 2025, haverá aumento no percentual acima equivalente à diferença do Índice Histórico de Inadimplência Comerciante e 7% (sete inteiros por cento). A Razão de Subordinação Júnior será calculada diariamente pelo Gestor e disponibilizada mensalmente, em cada Data de Cálculo, por meio do Relatório de Acompanhamento, sendo certo que, em caso de desenquadramento da Raz…",1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776 · 20/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Alocação mínima em direitos creditórios,credit_rights_allocation_min,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | ca o Mercado Pago, contratado para prestação de serviços de agente de recebimento dos Direitos Creditórios do Fundo. “Agente Escriturador” (Bookepping Agent) Significa o Administrador, na qualidade de instituição responsável pela escrituração das Cotas do Fundo. “Alocação Mínima de Investimento” (Minimum Investment Allocation) Significa a alocação de, no mínimo, 50% (cinquenta por cento) do Patrimônio Líquido do Fun…",1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776 · 20/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Atraso/Inadimplência - evento de avaliação,default_rate_evaluation_event,8%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar acima de 8%,Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | Sênior no mês calendário de referência; pela (ii) média diária do Valor Principal da totalidade dos Direitos Creditórios Para Fins de Juros Excedentes no mês calendário de referência. O Índice de Juros Excedente será calculado e disponibilizado pelo Gestor por meio do Relatório de Acompanhamento. “Índice Histórico de Inadimplência Comerciante” (Historical Merchant Default Rate) Significa: (i) para fins de verificaçã…,1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776 · 20/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,subordination_ratio_min,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 10%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | composta por 1.200.000 (um milhão e duzentas mil) Cotas Seniores, que totalizarão até R$1.200.000.000,00 (um bilhão e duzentos milhões de reais), considerando o Valor Nominal Unitário de Emissão. “Razão de Subordinação Júnior” significa a relação mínima admitida entre o somatório do valor das Cotas Subordinadas Júnior em Circulação e o Patrimônio Líquido do Fundo, equivalente a 10% (dez por cento). A Razão de Subord…",1077334_regulamento_regulamento_1077334_2025-12-19.pdf · ID 1077334 · 19/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.085.816/0001-05,Atraso/Inadimplência - evento de avaliação,default_rate_evaluation_event,3%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar abaixo de 3%,"Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | Aquisição, nos termos e condições previstos no Contrato de Cessão; (xx) descumprimento, pela Classe A, após 180 (cento e oitenta) dias do início de suas atividades, da Alocação Mínima, não regularizado no prazo de até 5 (cinco) Dias Úteis; e (xxi) inadimplemento do Devedor no pagamento dos Direitos Creditórios Cedidos na Conta Centralizadora por maior de 10 (dez) Dias Úteis. 18.1.1. Na ocorrência de qualquer Evento…",733165_regulamento_regulamento_733165_2024-09-05.pdf · ID 733165 · 05/09/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.085.816/0001-05,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | ormativo II, observada a ordem de alocação de recursos prevista no Capítulo 15 deste Anexo. 2.5. É vedada a aquisição de Direitos Creditórios, direta ou indiretamente originados ou cedidos pela Administradora, pela Gestora ou partes a eles relacionadas. 2.6. A Classe A não realizará investimentos no exterior. 2.7. Realização de Operações com Derivativos. A Classe A não poderá realizar operações em mercados de deriva…",733165_regulamento_regulamento_733165_2024-09-05.pdf · ID 733165 · 05/09/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.085.830/0001-09,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | xo Normativo II, observada a ordem de alocação de recursos prevista no Capítulo 0 deste Anexo. .4. É vedada a aquisição de Direitos Creditórios, direta ou indiretamente originados ou cedidos pela Administradora, pela Gestora ou partes a eles relacionadas. .5. A Classe A não realizará investimentos no exterior. .6. Realização de Operações com Derivativos. A Classe A não poderá realizar operações em mercados de deriva…",966441_regulamento_regulamento_966441_2025-07-24.pdf · ID 966441 · 24/07/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.102.603/0001-44,Atraso/Inadimplência - evento de avaliação,default_rate_evaluation_event,5%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar abaixo de 5%,"Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | ção Mínima, não regularizado no prazo de até 5 (cinco) Dias Úteis; (xxi) inadimplemento do Devedor no pagamento dos Direitos Creditórios Cedidos na Conta Centralizadora por maior de 10 (dez) Dias Úteis; e (xxii) decretação de evento de intervenção, liquidação, falência, ou outros eventos similares de um Devedor Relevante, nos termos da legislação e regulamentação aplicáveis. 18.1.1. Na ocorrência de qualquer Evento…",733239_regulamento_regulamento_733239_2024-09-05.pdf · ID 733239 · 05/09/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
