Fundo,CNPJ,Data,Classe/Série,Evento,Volume,Remuneração,Amortização/Vencimento,Fonte
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,Cotas Seniores,evento de cota,,"ar qualquer ônus ou gravame, seja de que tipo ou natureza for, sobre os Direitos Creditórios e os Ativos Financeiros integrantes da carteira do Fundo, exceto quando se tratar de margens de garantia prestadas às operações realizadas em mercados de derivativos; e (b) emitir Cotas em desacordo com este Regulamento. 6. REMUNERAÇÃO DA ADMINISTRADORA E DEMAIS TAXAS DO FUNDO 6.1 O Fundo pagará pelos serviços de administraç…","e Regulamento; (d) monitorar, nos termos previstos neste Regulamento, os patamares exigidos com relação aos parâmetros abaixo, com base em relatórios previamente acordados com o Custodiante e com a Gestora, conforme aplicável: (1) Relação Mínima; (2) Alocação Mínima; (3) Reserva de Liquidez; (4) Reserva de Amortização; e (5) Reserva de Despesas e Encargos; (e) no caso de liquidação, dissolução, intervenção, decretaç…",458972_regulamento_regulamento_458972_2023-05-05.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,COTAS SENIORES DA 31ª E 32ª SÉRIES,emissão,,,,458984_emissao_emissao_458984_2023-05-09.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,COTAS SENIORES DA 31ª E 32ª SÉRIES,emissão,,,,466330_emissao_emissao_466330_2023-05-17.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,COTAS SENIORES DA 31ª E 32ª SÉRIES,emissão,,,,467889_emissao_emissao_467889_2023-05-19.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,31ª série,emissão,"R$242.038.461,00",,,475826_emissao_emissao_475826_2023-06-09.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,31ª série,emissão,"R$242.038.461,00",,,476834_emissao_emissao_476834_2023-06-09.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,31ª série,emissão,"R$1,00",,,479908_emissao_emissao_479908_2023-06-15.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,3ª Série,evento de cota,R$ 14,"do pelo Coordenador Líder( conforme abaixod efinido). (B)e m relaçãoao item (ii) da ordem do dia, trata-sed ae missãod eC otas SubordinadasM ezaninoI-K, no valor de,n om ínimo,R $5 .000.000,00( cinco milhõesd er eais) e, no máximo,R $1 9.000.000,00 (dezenove milhõesd er eais), comp razo de 60 (sessenta)m eses,c ujaM eta de Remuneraçãos erác alculada nos termos do Suplemento de Cotas Subordinadas MezaninoI -K, com ba…","-Kp oderán ão seri mplementada,d esde queo bservada aR elação Mínima. Observado od ispostoa cima, aq uantidade finalea sobretaxa mezanino das CotasSubordinadas Mezanino I-K serão definidas em Procedimento de Bookbuilding.Nos termos do Regulamento, as CotasS ubordinadasM ezanino I-K se subordinarão,p ara efeitosd ee ventual amortização,r esgate ed istribuiçãod er endimentosd ac arteira do Fundo, às CotasS ubordinadas…",585596_assembleia_assembleia_585596_2024-01-15.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª Série,evento de cota,"R$ 50.000.000,00","ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 33ª Série; (v) Meta de Remuneração das Cotas Seniores da 33ª Série: as Cotas Seniores da 33ª Série serão valoradas diariame…","idade de Cotas Seniores da 33ª Série: a ser definid a de acordo com Procedimento de Bookbuilding, observada a quantidade mínima de 50.000.000 (cinquenta milhões) e a máxima de 200.000.000 (duzentos milhões) de Cotas Seniores da 33ª Série; (iii) Valor Unitário de Emissão: R$ 1,00 (um real); (iv) Prazo e Condições de Amortização das Cotas Seniores da 33ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",585597_assembleia_assembleia_585597_2024-01-15.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª SÉRIE,emissão,"R$ 225.000.000,00",,,587307_emissao_emissao_587307_2024-01-17.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª SÉRIE,evento de cota,"R$ 200.000.000,00","(sessenta) meses a contar da 1ª Data de Integralização de Cotas Seniores da 33ª Série. Sobretaxa Sênior das Cotas Seniores da 33ª Série: 2,10% ( dois inteiros e dez centésimos por cento) ao ano , conforme definida no âmbito do procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Seniores da 33ª Série: As Cotas Seniores da 33ª Série serão valoradas diariamente, a pa…","item 14 do Regulamento. A Meta de Remuneração das Cotas Seniores da 33ª Série será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Sênior das Cotas Seniores da 33ª Série. Tipo de Amortização Programada: Remuneração Intermediária. Meta de Amortização de Principal: Com relação a cada D…",596947_assembleia_assembleia_596947_2024-02-06.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª SÉRIE,emissão,"R$ 225.000.000,00",,,602471_emissao_emissao_602471_2024-02-06.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª SÉRIE,emissão,"R$ 1,00",,,602486_emissao_emissao_602486_2024-02-09.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,cotas seniores XXXI 71,evento de cota,,"ão aplicada em direitos creditórios poderá ser aplicada em ativos financeiros. Os ativos financeiros podem vir a se mostrar ilíquidos (seja por ausência de mercado secundário ativo, seja por eventual atraso no pagamento por parte do respectivo emissor e/ou devedor), o que poderia, eventualme nte, afetar os pagamentos de remuneração, amortização e/ou de resgate das cotas. Adicionalmente, não foi realizado qualquer pr…",reditórios 439.505 341.708 Valores ressarcidos/reembolsados por contratos cancelados 2.515 1.637 Rendas em operações compromissadas 939 970 Resgate de titulos privados de renda fixa (142.627) 90.608 Aplicação em titulos privados de renda fixa 264.506 (146.855) Aplicação em títulos públicos (201.336) (360.286) Resgate/amortização de títulos públicos 191.930 332.114 Liquidação financeira de derivativos 9.951 (1.462) P…,690837_assembleia_assembleia_690837_2024-07-01.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,34ª Série,evento de cota,"R$ 30.000.000,00","ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 34ª Série; (v) Meta de Remuneração das Cotas Seniores da 34ª Série: as Cotas Seniores da 34ª Série serão valoradas diariame…","iores da 34ª Série: a ser definid a de acordo com Procedimento de Bookbuilding, observada a quantidade mínima de 30.000.000 (trinta milhões) e a quantidade máxima de 330.000.000 (trezentos e trinta milhões) de Cotas Seniores da 34ª Série; (iii) Valor Unitário de Emissão: R$ 1,00 (um real); (iv) Prazo e Condições de Amortização das Cotas Seniores da 34ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",716784_assembleia_assembleia_716784_2024-08-08.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,34ª SÉRIE,evento de cota,"R$ 380.000.000,00",,,730982_evento_evento_730982_2024-08-13.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,Cotas Subordinadas,evento de cota,"R$ 5.000.000,00",não colocado será cancelado. Data de Resgate: 60 (sessenta) meses a contar da 1ª Data de Integralização de Cotas Subordinadas Mezanino II-D. Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D: A ser definida de acordo com procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Subordinadas Mezanino II-D: As Cotas Subordinadas Mezanino II-D serão valoradas diariam…,"Regulamento. A Meta de Remuneração das Cotas Subordinadas Mezanino II- D será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D. Tipo de Amortização Programada: Remuneração Intermediária Meta de Amortização de Principal: com relação a cada…",736911_assembleia_assembleia_736911_2024-09-23.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,Cotas Subordinadas Mezanino II-D:,evento de cota,"R$ 5.000.000,00",o não colocado será cancelado. Data de Resgate: 60 (sessenta) meses a contar da 1ª Data de Integralização de Cotas Subordinadas Mezanino II-D. Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D: A ser definida de acordo com procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Subordinadas Mezanino II-D: As Cotas Subordinadas Mezanino II -D serão valoradas diar…,"Regulamento. A Meta de Remuneração das Cotas Subordinadas Mezanino II-D será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D. Tipo de Amortização Programada: Remuneração Intermediária Meta de Amortização de Principal: com relação a cada D…",742937_assembleia_assembleia_742937_2024-09-23.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,34ª SÉRIE,emissão,"R$1,00",,"Sobretaxa Sênior da 34ª Série : variação da Taxa DI, acrescida de sobretaxa sênior equivalente a 1,40% (um inteiro e quarenta centésimos por cento) ao ano, calculada pro rata temporis por Dias Úteis decorridos, desde a 1ª Data de Integralização das Cotas referente às Cotas Seniores da 34ª Série até a respectiva Data de Resgate estabelecida no Suplemento das Cotas Seniores da 34ª Série, nos termos do item 14 do regul…",743529_emissao_emissao_743529_2024-09-24.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,34ª SÉRIE,evento de cota,"R$ 276.400.000,00","sessenta) meses a contar da 1ª Data de Integralização de Cotas Seniores da 34ª Série. Sobretaxa Sênior das Cotas Seniores da 34ª Série: 1,40% ( um inteiro e quarenta centésimos por cento) ao ano, conforme definida no âmbito do procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Seniores da 34ª Série: As Cotas Seniores da 34ª Série serão valoradas diariamente, a pa…","item 14 do Regulamento. A Meta de Remuneração das Cotas Seniores da 34ª Série será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Sênior das Cotas Seniores da 34ª Série. Tipo de Amortização Programada: Remuneração Intermediária. Meta de Amortização de Principal: Com relação a cada D…",743627_assembleia_assembleia_743627_2024-09-24.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,,evento de cota,,"no Potenciais, conforme o caso, bem como suas consolidações por Cotas Seniores e por Classes de Cotas Subordinadas Mezanino: 11 (i) Valor Principal de Referência Anterior; (ii) Valor Unitário de Referência Corrigido Antes da Amortização; (iii) Metas de Amortização de Principal; (iv) Limites Superiores de Remuneração; (v) Metas de Amortização; (vi) Parâmetros de Ponderação de Risco; (vii) Excesso de Retorno Mínimos d…","ermos previstos neste Regulamento, seus Anexos Descritivos e Apêndices, os patamares exigidos com relação aos parâmetros abaixo, com base em relatórios previamente acordados com o Custodiante e com a Gestora, conforme aplicável: (1) Relação Mínima; (2) Alocação Mínima; (3) Reserva de Liquidez; (4) Reserva de Amortização; e (5) Reserva de Despesas e Encargos; (d) no caso de liquidação, dissolução, intervenção, decret…",784310_assembleia_assembleia_784310_2024-11-18.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,,evento de cota,,"adas Mezanino ou de Cotas Subordinadas Mezanino Potenciais, conforme o caso, bem como suas consolidações por Cotas Seniores e por Classes de Cotas Subordinadas Mezanino: Valor Principal de Referência Anterior;Valor Unitário de Referência Corrigido Antes da Amortização;Metas de Amortização de Principal;Limites Superiores de Remuneração;Metas de Amortização;Parâmetros de Ponderação de Risco;Excesso de Retorno Mínimos…","Classe/Subclasse;monitorar, nos termos previstos neste Regulamento, seus Anexos Descritivos e Apêndices, os patamares exigidos com relação aos parâmetros abaixo, com base em relatórios previamente acordados com o Custodiante e com a Gestora, conforme aplicável: Relação Mínima;Alocação Mínima;Reserva de Liquidez;Reserva de Amortização; eReserva de Despesas e Encargos;no caso de liquidação, dissolução, intervenção, de…",784311_regulamento_regulamento_784311_2024-11-18.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,35ª Série,evento de cota,R$ 40.000.000,"nte: (A) em relação ao item (i) da ordem do dia, trata-se da emissão da 35ª (trigésima quinta) série de Cotas Seniores do Fundo, no valor de, no mínimo, R$ 40.000.000 (quarenta milhões de reais) e, no máximo, R$ 410.000.000,00 (quatrocentos e dez milhões de reais), com prazo de 72 (setenta e dois ) meses, cuja Meta de Remuneração será calculada nos termos do Suplemento de Cotas Seniores da 35ª Série, com base na var…","ão ser implementada, desde que observada a Relação Mínima. Observado o disposto acima, a quantidade final e a sobretaxa mezanino das Cotas Subordinadas Mezanino I-M serão definidas em Procedimento de Bookbuilding. Nos termos do Regulamento, as Cotas Subordinadas Mezanino I -M se subordinarão, para efeitos de eventual amortização, resgate e distribuição de rendimentos da carteira do Fundo, às Cotas Subordinadas Mezan…",928766_assembleia_assembleia_928766_2025-06-30.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,35ª Série,evento de cota,"R$ 40.000.000,00","carência para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/ 60 (um sobre sessenta avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 35ª Série; (v) Meta de Remuneração das Cotas Seniores da 35ª Série : as Cotas Seniores da 35ª Série serão valoradas diariam…","es da 35ª Série : a ser definid a de acordo com Procedimento de Bookbuilding, observada a quantidade mínima de 40.000.000 (quarenta milhões) e a quantidade máxima de 410.000.000 (quatrocentos e dez milhões) de Cotas Seniores da 35ª Série; (iii) Valor Unitário de Emissão: R$ 1,00 (um real); (iv) Prazo e Condições de Amortização das Cotas Seniores da 35ª Série: prazo de 72 (setenta e dois) meses a contar da primeira d…",939819_assembleia_assembleia_939819_2025-06-30.pdf
